program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;semihonest;shamir;3;0.34;30;1;4;0.0221546;0.11;15;55;~38;0.648352;1.62459
31;FIELD;semihonest;shamir;3;0.18;18;1;6;0.0242682;0.10;15;58;~54;0.652512;1.63685
31;FIELD;semihonest;shamir;3;0.17;18;1;8;0.0281236;0.12;15;59;~70;0.656672;1.6491
31;FIELD;semihonest;shamir;3;0.18;18;1;10;0.0270349;0.10;17;57;~86;0.660832;1.66136
31;FIELD;semihonest;shamir;3;0.17;18;1;12;0.033301;0.12;17;62;~102;0.664992;1.67362
31;FIELD;semihonest;shamir;3;0.18;18;1;14;0.0320848;0.12;15;62;~118;0.669152;1.68587
31;FIELD;malhonest;malicious-shamir;3;0.34;30;1;4;0.123825;0.20;22;74;~48;3.53669;10.2898
31;FIELD;malhonest;malicious-shamir;3;0.18;18;1;6;0.119514;0.19;24;80;~62;3.54488;10.3143
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;8;0.120936;0.20;23;82;~76;3.55307;10.3387
31;FIELD;malhonest;malicious-shamir;3;0.18;18;1;10;0.154727;0.25;24;76;~90;3.56126;10.3632
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;12;0.130029;0.22;22;76;~104;3.56946;10.3876
31;FIELD;malhonest;malicious-shamir;3;0.18;18;1;14;0.11411;0.19;23;73;~118;3.57765;10.4121
31;RING;semihonest;replicated-ring;3;0.13;17;1;4;0.0318935;0.12;15;56;~113;0.401588;0.96394
31;RING;semihonest;replicated-ring;3;0.14;17;1;6;0.0350828;0.12;17;57;~129;0.401762;0.96443
31;RING;semihonest;replicated-ring;3;0.14;17;1;8;0.0388615;0.12;15;60;~145;0.401936;0.96492
31;RING;semihonest;replicated-ring;3;0.14;17;1;10;0.0396488;0.12;15;57;~161;0.40211;0.96541
31;RING;semihonest;replicated-ring;3;0.14;17;1;12;0.0422609;0.13;15;54;~177;0.402284;0.9659
31;RING;semihonest;replicated-ring;3;0.13;17;1;14;0.0398118;0.12;15;57;~193;0.402458;0.96639
31;BINARY;semihonest;ccd;3;0.31;22;1;4;0.0140935;0.06;12;65;NA;0.002648;NA
31;BINARY;semihonest;ccd;3;0.35;22;1;6;0.018743;0.07;10;77;NA;0.00394;NA
31;BINARY;semihonest;ccd;3;0.38;23;1;8;0.0260583;0.08;10;81;NA;0.005232;NA
31;BINARY;semihonest;ccd;3;0.42;23;1;10;0.0309397;0.08;10;85;NA;0.006524;NA
31;BINARY;semihonest;ccd;3;0.45;24;1;12;0.0373509;0.09;12;85;NA;0.007816;NA
31;BINARY;semihonest;ccd;3;0.48;25;1;14;0.0416639;0.09;10;82;NA;0.009108;NA
31;BINARY;semihonest;replicated-bin;3;0.31;22;1;4;0.0115837;0.06;11;53;NA;0.001348;NA
31;BINARY;semihonest;replicated-bin;3;0.35;22;1;6;0.0174346;0.06;11;51;NA;0.001994;NA
31;BINARY;semihonest;replicated-bin;3;0.38;23;1;8;0.0256042;0.07;11;58;NA;0.00264;NA
31;BINARY;semihonest;replicated-bin;3;0.42;23;1;10;0.0302094;0.07;9;56;NA;0.003286;NA
31;BINARY;semihonest;replicated-bin;3;0.45;24;1;12;0.0350734;0.08;11;58;NA;0.003932;NA
31;BINARY;semihonest;replicated-bin;3;0.48;25;1;14;0.0402584;0.08;11;55;NA;0.004578;NA
31;BINARY;semidishonest;yao;2;0.31;22;1;4;0.0157664;0.04;11;62;NA;0.033216;NA
31;BINARY;semidishonest;yao;2;0.35;22;1;6;0.0156292;0.04;13;59;NA;0.049792;NA
31;BINARY;semidishonest;yao;2;0.38;23;1;8;0.0169259;0.04;11;52;NA;0.066368;NA
31;BINARY;semidishonest;yao;2;0.42;23;1;10;0.0166967;0.04;11;52;NA;0.082944;NA
31;BINARY;semidishonest;yao;2;0.45;24;1;12;0.0166116;0.04;11;66;NA;0.09952;NA
31;BINARY;semidishonest;yao;2;0.48;25;1;14;0.017562;0.04;13;56;NA;0.116096;NA
31;BINARY;semidishonest;yaoO;2;0.31;22;1;4;0.00156214;0.03;10;65;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.35;22;1;6;0.00192326;0.03;10;69;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.38;23;1;8;0.00165913;0.03;8;67;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.42;23;1;10;0.00203425;0.03;10;68;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.45;24;1;12;0.0023995;0.03;10;71;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.48;25;1;14;0.00215463;0.04;10;70;NA;0;NA
