nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;latencies(ms);input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;244170;19141;0;30;1.9351;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;5;30;147.061;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;10;30;287.889;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;15;30;428.302;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;20;30;568.866;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;25;30;709.723;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;30;30;850.229;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;35;30;990.808;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;40;30;1131.29;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;45;30;1271.82;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;50;30;1412.4;NA;29.5907;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;244170;19141;0;30;8.79174;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;5;30;160.942;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;10;30;307.917;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;15;30;453.948;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;20;30;599.985;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;25;30;746.498;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;30;30;892.845;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;35;30;1039.03;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;40;30;1185.54;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;45;30;1331.98;NA;545.695;NA
rapla,tapa,valga;35_set_intersection;BINARY;maldishonest;tinier;NA;NA;NA;50;30;1478.4;NA;545.695;NA
